"Name","Symbol","Exchange","Industry","Rating","MarketCap","EV","Revenue","GrossProfit","EBITDA","EBIT","NetIncome","Cash","PPnE","Assets","Debt","Equity","Receivables","Inventory","CurrentAssets","ShortTermDebt","LTD_Cap_Leases","Leases_LongTerm","LongTermDebt","Liabilities","Liabilities_N_Equity","Debt_Current","Debt_NonCurrent","Debt_Net","EBITDA_sd","Vol","EL","BL","LM","AP","AR","RoD","nEL","nBL","nLM","nAP","nAR","nRoD","RD","nRD"
"Alpha Metallurgical Resources, Inc. (NYSE:AMR)","NYSE:AMR","New York Stock Exchange (NYSE)","Materials","B-",940.133333333333,1253.08333333333,1848.01666666667,402.65,349.3,272.108333333333,55.7833333333333,133.838428571429,812.128571428571,1726.5,283.009214285714,551.128571428571,218.228571428571,102.314285714286,552.728571428571,0,16.8425714285714,3.95728571428571,401.164285714286,1450.92142857143,1726.5,16.854,405.112857142857,288.101428571429,331.631964683744,0.264652761601711,0.531009475266774,0.269057424711599,2.59468503026472,0.820800676294994,1.82191077709012,0.763066358453717,0.355295934147144,0.20417916725765,1.8114536136316,0.917807865951112,1.64622186291297,1.07509660179361,0.763066358453717,1.07509660179361
"Alta Equipment Group Inc. (NYSE:ALTG)","NYSE:ALTG","New York Stock Exchange (NYSE)","Industrials","B",322.9,857.766666666667,804.675,208.225,72.5,40.775,-18.2225,1.0328,37.002,557.82,299.446,58.24,108.1,159.86,279.2,236.82,10.126,21.61,131.06,528.7,557.82,246.944,152.66,398.58,30.69169268711,0.0357809342328255,0.582454909241702,0.744681063292138,6.28497409268227,1.22462834910494,0.829512895864881,0.159824811386903,0.581264275740527,0.744285504937317,6.26688108603346,1.22609311248169,0.828322262363706,0.160264990268267,0.159824811386903,0.160264990268267
"Altice USA, Inc. (NYSE:ATUS)","NYSE:ATUS","New York Stock Exchange (NYSE)","Communication","BB",12530.5,37211.18,8087.31,5024.87,3057.54,2215.13,357.087,519.01,4904.49,23309.82,13918.62575,-941.11,365.51,0,1358.18,0,715.51,118.14,17897.55,23780.375,23309.82,715.494,18015.679,18212.16,1239.50066577007,0.0333098994917675,0.676236247458882,1.00336765414023,6.10505312989072,1.10046464188208,0.921133272673386,0.165543918896807,0.666594354912324,1.02212241361267,5.87264703309071,1.11260944101796,0.911491380126828,0.172680670422105,0.165543918896807,0.172680670422105
"Altria Group, Inc. (NYSE:MO)","NYSE:MO","New York Stock Exchange (NYSE)","Consumer Staples","BBB",97543.05,113266.95,19299.3,11753.3,9869.1,9757.45,5686.3,3052.6,1946.9,41692.3,13862.825,6408.5,132.7,1975.6,5862.1,1270.4,860.1,0,17370.8,38488.05,41692.3,2130.5,17370.8,16448.7,1658.42438276013,0.0146417324979629,0.178791984340659,0.463215153667698,1.9367881026071,2.78303621849007,0.376643521134799,0.544979322468991,0.151002350314858,0.419835506461755,1.62300063474876,3.02091078710508,0.348853887108999,0.670909617504541,0.544979322468991,0.670909617504541
"AMC Entertainment Holdings, Inc. (NYSE:AMC)","NYSE:AMC","New York Stock Exchange (NYSE)","Communication","CCC+",5808.64444444444,11881.4888888889,3421.23,430.26,288.9,106.81,-603.03,410.53,3450.65,8188.97,4050.129,741.18,127.79,23.226,732.82,0,219.12,1685.46,3632.9,7818.39,8188.97,219.115,5318.351,5125.58,637.068159618733,0.0536185460910118,0.566693452064006,0.616823680394398,-1.24114916309541,1.29853113134019,1.00862895009407,0.118500710301013,0.515172261192409,0.597957163795289,-0.734656061307649,1.37205347669308,0.957105005471176,0.133794359478999,0.118500710301013,0.133794359478999
"Ameren Corporation (NYSE:AEE)","NYSE:AEE","New York Stock Exchange (NYSE)","Utilities","BBB+",14630.38,23834.68,5846,2693.8,2298.3,1834.25,586.6,70.9,21260.9,26375.8,6532.175,7685,701.6,529.7,1896.9,449.7,446.1,0,7837.4,22533.3,26375.8,895.8,7837.4,8662.3,242.750008582218,0.0101847395720109,0.372937328667936,0.326693463234116,3.74816842192013,0.88612776486299,1.15476827498427,0.272895769188689,0.369371396666224,0.324706357976858,3.71582794110064,0.888531300371642,1.15120234298256,0.275638160044546,0.272895769188689,0.275638160044546
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)","NYSE:AXL","New York Stock Exchange (NYSE)","Consumer","BB-",1345.31,3600.64,4830.47,741.01,729.47,553.88,27.1,371.16,1706.36,4934.9,1848.375,567.65,692.75,310.66,1499.7,0,32.62,41.01,2514.59,4651.075,4934.9,32.62,2555.6,2217.06,283.469583122344,0.0787275548575653,0.691716813755299,0.51233265344614,3.53014160886375,0.769717746336604,1.33829360341485,0.300558725757007,0.587554015005582,0.471195056775035,3.03163223813558,0.831877120248417,1.23413080466513,0.36550006220801,0.300558725757007,0.36550006220801
"American States Water Company (NYSE:AWR)","NYSE:AWR","New York Stock Exchange (NYSE)","Utilities","A+",2036.41,2452.85,463.96,252.73,161.48,141.49,70.04,19.284,1235.9,1503.59,315.2463,543.12,73.59,6.104,158.94,17.7,9.4148,3.026,396.61,1232.025,1503.59,27.1182,399.637,407.47,10.7254422338247,0.00437264497781141,0.182790111799547,0.280103562143422,2.62240443657116,1.59596795074259,0.665214712104969,0.394601396156408,0.172150961503557,0.269767146809497,2.50397534714535,1.61466867366053,0.654578393189371,0.422990525746456,0.394601396156408,0.422990525746456
"American Water Works Company, Inc. (NYSE:AWK)","NYSE:AWK","New York Stock Exchange (NYSE)","Utilities","A",16603.29,24564.64,3356.53,1893,1637.89,1385.48,579.66,115.04,15905.28,19579.61,5908.52525,5547.68,478.92,40.68,933.32,734.83,165.51,25.5,6990.55,16805.77,19579.61,900.338,7016.043,7801.34,215.299762346981,0.00876462111176803,0.339390824882426,0.400353632222324,4.76439386942084,1.21442961891261,0.855582566557305,0.21307500261885,0.335596927157743,0.397316078646917,4.70007747376333,1.22182267108648,0.851788751822115,0.215553408874616,0.21307500261885,0.215553408874616
"AmerisourceBergen Corporation (NYSE:ABC)","NYSE:ABC","New York Stock Exchange (NYSE)","Health Care","BBB+",20321.63,22138.17,155063.46,4478.2,2141.79,1954.5,435.14,2453.88,1578.93,33126.45,2262.2277,1732.97,9956.62,10392.43,23562.68,0,198.24,133.17,3502.86,32259.97,33126.45,198.242,3636.032,1380.3768,721.966977468884,0.0326118634678875,0.16841865188873,0.110916071595475,1.70591176577033,0.718019212547613,1.48049257114007,0.625240363278924,0.0572213486859976,0.0385974585041898,0.557386920985468,0.776420042809418,1.36929539536138,-2083.88167417338,0.625240363278924,-2083.88167417338
